296
1 120 265 204
2 263 155 292 200
2 250 164 288 164
2 138 66 233 70
2 22 107 218 258
2 176 265 258 277
2 257 291 274 291
1 184 156 38
2 136 162 151 224
2 169 50 200 291
2 190 61 289 192
2 216 293 252 293
2 81 248 82 276
1 278 184 210
2 129 269 214 294
2 182 141 193 284
2 58 270 245 274
2 217 271 225 295
1 285 118 490
2 91 229 239 238
2 134 117 181 295
2 237 95 252 277
2 237 172 246 178
2 259 118 291 208
2 110 145 129 276
1 277 141 47
1 16 75 495
2 121 266 219 285
2 126 26 232 161
2 203 175 294 198
2 51 25 133 90
2 16 140 181 215
2 251 45 288 227
2 34 87 145 144
2 109 186 264 224
2 234 112 242 129
2 33 32 276 140
2 55 157 188 287
2 143 121 181 125
2 222 144 279 287
2 90 72 236 264
2 243 220 269 283
2 139 43 193 275
2 130 253 277 289
2 157 194 295 292
2 63 77 252 279
2 47 162 286 195
2 292 22 292 266
1 292 61 20
2 154 139 286 214
2 271 277 271 288
2 10 52 73 64
2 93 12 208 275
2 34 86 162 177
2 150 172 239 260
2 204 5 237 138
2 170 216 226 280
2 158 221 244 248
2 265 12 284 228
2 93 88 175 140
2 200 70 227 261
2 229 122 292 174
2 9 138 21 255
2 132 142 161 212
2 133 191 216 205
2 52 20 130 165
2 138 197 145 244
2 19 27 42 140
2 268 122 269 130
2 162 230 209 252
2 51 233 229 273
2 282 289 294 295
2 214 284 247 294
2 94 229 173 241
2 59 270 279 280
2 59 32 69 92
2 122 191 167 257
2 18 272 284 280
2 203 45 239 158
2 144 284 249 292
2 284 275 284 275
2 151 6 258 224
1 167 232 350
2 138 51 192 283
2 112 47 276 173
2 214 153 262 218
2 87 86 269 144
2 119 254 200 258
2 269 147 276 182
2 7 23 250 200
2 118 83 229 173
2 1 210 152 231
2 207 238 223 283
1 72 219 397
1 130 281 197
2 230 260 283 262
2 101 41 142 101
2 122 253 200 265
2 282 125 287 287
2 244 167 285 208
2 21 100 263 258
2 52 212 189 215
2 152 203 248 294
2 94 211 197 234
2 201 50 266 120
2 77 92 181 144
2 260 183 268 259
2 100 208 160 267
2 216 45 218 161
2 49 96 111 175
2 111 148 275 219
2 27 74 112 109
2 254 29 283 202
2 98 107 223 131
2 99 143 162 208
1 287 32 99
2 51 94 239 108
2 114 192 178 207
2 277 162 278 269
2 292 52 294 238
2 17 62 71 244
2 185 232 259 258
2 265 1 269 40
2 288 213 291 243
2 224 131 275 251
2 288 46 293 273
2 224 150 285 264
2 221 15 253 52
2 153 78 279 267
2 228 227 284 262
2 43 69 176 234
2 241 94 274 136
2 165 249 288 286
2 86 269 200 292
2 250 59 273 207
2 83 178 174 251
2 208 262 225 283
2 137 33 145 125
2 99 247 144 284
2 139 82 230 223
2 224 81 240 163
2 60 238 134 275
2 205 137 278 239
2 164 264 291 277
2 51 119 180 160
2 224 272 279 295
2 236 42 288 79
2 103 105 183 109
2 119 55 225 252
2 121 258 140 270
2 118 249 125 261
2 257 104 258 156
1 179 267 89
2 250 38 293 221
2 135 196 267 258
2 78 61 208 263
2 152 110 295 292
2 139 146 174 193
2 115 256 149 278
2 260 215 265 246
2 274 107 276 228
2 237 278 239 287
2 125 30 141 245
2 11 103 80 161
2 159 94 290 150
2 219 197 248 233
2 196 234 281 290
2 14 212 177 258
2 161 197 258 284
2 40 224 68 294
2 62 52 172 275
2 54 267 287 274
2 221 9 277 115
1 190 148 133
2 158 270 233 293
2 142 194 295 277
2 204 149 235 175
2 0 175 78 194
2 97 252 263 286
2 11 0 176 28
2 74 8 295 17
2 63 242 240 268
2 276 52 290 141
2 151 117 274 174
2 22 198 201 263
2 74 83 133 269
1 160 48 198
1 90 61 358
2 254 60 255 256
2 228 220 269 257
2 122 229 127 259
2 20 258 209 276
1 226 137 382
2 290 5 294 176
2 9 38 166 140
2 217 218 221 235
2 129 209 226 237
2 85 242 95 287
2 124 4 229 206
2 290 145 290 279
2 130 254 256 285
2 239 166 269 272
2 283 244 285 270
2 270 70 279 221
2 172 180 255 272
2 231 218 263 263
1 211 277 453
2 151 240 216 278
2 19 267 279 272
2 238 292 268 293
2 292 268 294 278
2 198 278 204 289
2 117 195 242 279
2 223 75 249 242
2 44 26 104 69
2 265 179 282 197
2 19 254 50 272
2 62 67 84 225
2 129 131 189 249
2 7 224 242 241
2 260 224 276 273
2 38 189 184 293
2 202 291 219 295
2 91 212 165 273
2 85 36 258 288
2 22 164 36 175
2 70 148 146 207
1 96 43 192
2 111 14 125 15
2 5 36 207 210
2 103 86 129 239
2 289 61 289 268
2 90 284 281 291
2 163 261 229 278
2 267 239 279 261
2 19 248 147 285
2 253 261 280 286
2 116 46 191 46
2 174 222 248 236
2 95 193 104 291
2 189 104 286 269
2 103 144 123 246
2 115 111 163 123
2 223 234 249 270
2 131 172 183 189
2 190 205 277 220
1 155 227 93
2 123 6 146 244
2 267 111 269 231
2 172 6 271 267
2 129 40 230 67
2 124 115 251 152
2 75 113 99 236
2 2 64 236 274
2 230 185 263 213
2 281 255 292 262
2 136 149 258 262
1 261 84 305
2 226 136 278 259
1 217 2 177
2 249 193 295 235
2 239 108 278 128
2 234 149 276 172
2 272 58 293 194
2 21 147 99 160
2 221 55 288 181
1 257 159 349
2 207 257 289 282
2 188 161 242 194
2 204 253 216 276
2 151 218 252 230
1 230 221 349
2 178 204 281 269
2 24 52 220 156
2 274 118 287 242
2 157 116 260 223
2 175 265 197 294
2 129 60 277 192
2 232 266 255 289
2 153 158 292 280
2 37 187 246 208
2 205 31 248 243
2 116 180 235 282
2 54 223 213 252
2 125 10 177 129
1 69 275 242
1 232 117 0
2 240 243 264 286
2 221 285 245 290
2 156 191 162 254
2 22 103 121 129
2 207 210 234 252
2 49 230 96 234
2 174 256 220 257
2 76 65 193 282
1 60 169 425
2 96 67 245 256
2 71 9 104 113
2 78 72 81 171
2 127 259 286 266
2 76 164 113 217
2 228 42 234 220
2 36 180 213 273
2 22 105 100 282
2 280 129 285 294
2 208 217 222 245
2 91 123 124 143
1 291 153 263
2 178 256 260 282
2 65 187 140 245
1 20 217 319
2 199 80 216 106
1 174 74 456
2 34 56 271 234
2 80 1 267 73
2 121 251 170 290
2 109 25 184 35
2 42 293 251 293
2 170 180 221 263
2 69 140 158 232
1 260 216 18
2 89 64 105 249
2 44 288 201 292
2 275 72 288 196
2 147 27 254 240
1 168 141 425
2 170 173 255 289
2 16 182 198 216
2 256 232 258 259
2 29 238 84 239
2 11 159 43 227
1 22 88 233
2 43 142 92 210
2 241 224 244 286
2 286 149 291 253
1 12 290 250
2 145 172 196 195
1 229 46 223
2 115 139 157 217
2 206 233 275 240
2 238 181 292 242
2 141 221 159 248
2 275 294 283 294
2 136 37 141 140
2 175 2 282 289
2 140 155 140 258
1 197 33 347
2 216 109 221 117
2 48 166 49 193
2 283 74 291 270
2 214 170 294 220
2 31 27 260 131
2 69 192 152 243
2 4 38 111 132
2 25 282 255 291
2 130 71 284 276
2 295 160 295 290
2 261 75 265 258
1 63 281 184
2 287 142 293 212
2 169 166 259 245
2 68 81 197 290
2 79 56 129 252
2 134 156 207 162
2 271 276 286 289
2 286 0 289 240
2 60 44 268 47
2 294 285 295 294
2 18 258 84 280
2 185 282 193 285
1 60 128 144
2 167 239 228 289
2 100 24 275 57
2 78 27 186 237
2 265 286 276 293
2 292 228 293 285
2 140 183 265 245
2 213 259 281 263
2 29 265 246 274
1 276 99 51
2 80 242 177 274
1 41 125 11
2 203 188 211 239
2 85 35 187 159
2 167 226 180 249
2 15 38 148 149
2 202 11 286 151
2 39 202 100 266
2 6 276 8 286
2 292 201 292 226
2 228 188 286 198
2 198 143 207 149
2 45 5 66 87
2 118 38 249 263
2 27 201 67 256
2 50 246 115 269
2 114 178 187 228
2 30 175 284 244
1 0 282 243
2 288 258 294 291
2 76 159 78 258
2 123 177 166 265
2 48 159 212 256
2 293 199 295 248
2 247 164 256 187
2 124 164 157 293
2 67 64 124 149
2 133 132 214 293
2 146 59 258 217
2 85 72 125 176
2 146 165 234 272
1 2 162 314
2 29 3 48 56
2 262 96 291 279
2 73 74 253 190
2 31 85 48 85
2 26 287 198 288
2 46 83 282 158
2 53 69 234 96
2 265 236 288 242
2 196 174 284 239
2 139 61 291 256
2 135 285 241 286
2 83 14 177 269
2 154 103 280 227
2 180 151 240 188
2 292 55 294 279
2 5 239 148 250
2 126 224 197 286
2 197 84 215 218
2 47 116 236 200
2 70 22 101 161
1 273 205 304
2 82 92 202 227
2 148 94 282 282
2 53 77 87 257
2 190 50 213 271
2 122 54 262 186
2 89 41 202 54
2 175 21 219 43
2 166 229 249 277
2 261 149 288 209
2 266 200 272 203
2 46 224 224 245
2 115 89 150 238
2 195 247 288 294
1 123 22 400
2 25 112 79 178
2 236 46 257 285
2 30 163 82 243
2 107 63 194 193
2 106 199 121 233
2 202 242 220 284
2 77 136 180 237
2 36 278 135 282
2 82 86 165 116
2 156 37 163 207
2 12 216 187 246
2 252 136 280 226
2 145 260 257 277
2 161 124 212 278
2 16 29 223 39
2 153 142 175 200
2 61 278 141 286
2 159 88 286 201
2 143 222 220 250
2 168 171 179 228
2 89 44 150 270
2 131 184 251 273
2 81 259 277 272
2 269 171 288 200
2 197 0 202 12
2 45 189 179 253
2 179 120 226 160
2 198 89 290 283
2 229 196 235 241
2 257 247 281 271
2 291 13 293 240
2 275 199 280 236
2 210 115 225 192
2 112 146 248 262
2 18 108 258 187
2 80 246 99 269
2 80 91 271 182
2 168 178 213 244
2 278 69 278 224
2 55 265 140 288
1 52 86 209
2 90 279 96 291
2 228 165 280 238
1 175 227 68
1 84 5 238
2 182 283 246 285
2 135 75 194 270
2 15 46 132 118
1 158 34 491
2 39 278 290 279
2 217 194 261 275
1 153 63 432
2 202 242 231 259
2 157 107 183 163
2 112 134 189 264
2 262 84 265 168
2 50 145 212 233
2 49 260 81 288
2 243 138 252 289
1 15 280 499
2 117 220 228 232
2 187 97 232 266
2 176 258 287 288
2 240 59 272 111
1 248 88 47
2 102 283 250 287
2 125 168 219 292
2 130 133 215 137
2 35 135 171 186
2 126 49 132 116
2 271 185 294 204
2 134 52 206 176
2 232 27 255 280
2 190 193 258 265
2 10 18 29 173
2 253 47 270 197
2 235 235 271 266
2 200 16 220 94
2 243 111 245 269
2 290 206 295 213
1 14 80 255
1 10 32 72
2 227 43 227 98
2 231 295 240 295
1 126 174 464
2 218 1 244 71
2 188 125 236 223
2 36 179 125 199
2 242 221 288 289
2 141 76 222 233
2 195 13 245 80
2 196 159 265 182
1 235 83 301
2 218 203 228 205
2 264 257 279 266
2 205 112 205 223
2 196 256 230 257
2 5 269 64 286
2 251 188 271 293
1 227 269 482
2 213 174 249 280
1 74 93 143
2 282 123 288 148
1 133 213 206
2 67 280 264 286
2 100 154 176 280
2 225 229 245 287
2 283 154 286 184
2 271 6 293 92
2 198 6 269 289
2 39 189 295 206
2 62 196 83 232
2 112 279 198 286
2 215 60 252 254
2 114 86 171 235
1 178 192 303
2 158 9 163 220
2 207 89 209 232
2 123 212 235 226
2 286 3 292 93
2 164 137 287 171
3
